patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Vũ Xuân Hoàng,655975906073,08/07/1954,0518772654,gmai@example.net,"2 Anh Nguyễn, 786735",Tiểu đường,4.75,Nhật Hoàng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Bảo Thế Lê,296387253759,18/08/1967,0872534659,tranjohn@example.com,"31 Ông Hoàng Đặng JaneQuận, 232040",Khỏe mạnh,10.96,Cô Ánh Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Vũ Đức Nguyễn,506574571831,17/11/1935,0991206192,rbui@example.org,"0 Hưng Đức Dương, 378258",Khỏe mạnh,5.49,Lan Bùi,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Thành Hải Mai,761276079672,03/05/1950,0502552648,qmai@example.net,"00 Anh Khoa Mai, 184714",Khỏe mạnh,6.1,Trọng Trí Trần,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Ông Bảo Dương,110482232075,19/04/2004,0930822724,janepham@example.org,"73 Hồng Trần, 199704",Tim mạch,11.81,Huy Tấn Vũ,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Thành Mai,776700195481,07/03/1948,0370975351,john29@example.com,"0 Lâm Hải Vũ, 153945",Huyết áp cao,7.51,Trọng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Anh Vũ,342294102950,22/02/1983,0542171400,jane52@example.net,"4 Nhật Thế Lê, 106402",Huyết áp cao,9.12,Chị Khoa Bùi,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Quý cô Vi Mai,871066775528,09/10/1964,0926436820,tranjohn@example.com,"5 Hồng Lê JohnHuyện, 564637",Tim mạch,4.79,Nhật Mai Bùi,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Nhật Hữu Nguyễn,656926964851,21/09/2001,0790235756,maijane@example.org,"32 Vân Hoàng JanePhường, 551574",Huyết áp cao,5.59,Chị Kim Mai,17/05/2026
d556b37d-8f08-41ee-8011-316b3ae88926,Bác Phúc Đặng,284975699896,11/11/1994,0729867279,hoangjohn@example.net,"6 Hồng Dương, 582446",Tiểu đường,6.44,Vũ Bảo Trần,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Quý cô Kim Bùi,351046715401,13/09/1981,0855558186,johnmai@example.net,"8 Chị Nhật Dương, 368402",Huyết áp cao,6.07,Chị Duyên Lê,28/05/2026
2d5972c6-134a-4a2f-a7cf-705cc257cf73,Quý ôCô Khoa Đặng,420065397916,03/08/1996,0762134363,tdang@example.net,"90 An Vũ, 139434",Tiểu đường,10.41,Linh Vũ,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Bà Hà Nguyễn,516299095662,03/07/2004,0912942864,gpham@example.com,"93 Cô Hạnh Hoàng, 950360",Tiểu đường,8.96,Vũ Xuân Nguyễn,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Tú Thế Nguyễn,210285045956,21/03/1988,0383440373,qpham@example.org,"518 Lâm Thị Hoàng, 795847",Tim mạch,8.81,Bà Hạnh Bùi,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Nhật Đức Trần,021614561371,13/03/1980,0756334953,vujohn@example.org,"23 Tùng Quang Hoàng phố, 410160",Tiểu đường,8.65,Phương Mai,12/06/2026
09a9d1c1-86ca-46f4-a238-fe93bd17c5e8,Phúc Tấn Phạm,454092852070,06/10/1986,0951926753,john11@example.com,"7 Chị Linh Mai JanePhường, 921874",Tiểu đường,10.92,Anh Tùng Phạm,02/03/2026
78116802-c8cc-4cfe-8f01-f944f7315749,Ông Vũ Đặng,910158102903,17/06/1995,0974962359,jane16@example.org,"392 Hải Phạm, 986982",Tiểu đường,6.65,Hạnh Trần,29/05/2026
e7c225da-7306-4588-85d5-a68d290a3abb,Quý ông Quang Mai,400829916657,21/11/1996,0812449617,vdang@example.net,"15 Tùng Vũ, 140163",Tim mạch,6.76,Châu Lê,28/05/2026
9d8776a0-72d7-4bdd-b817-99ffb49e04cc,Anh Vũ Hoàng,933136779675,29/01/1938,0389320373,john69@example.net,"434 Nhật Hải Nguyễn, 216242",Huyết áp cao,5.41,Ông Minh Hoàng,16/02/2026
6de299a1-4a90-4d0c-a4c1-73b9b7f28572,Linh Dương,244537344859,26/03/1968,0997192701,john66@example.net,"Quý cô Lâm Đặng JaneHuyện, 883618",Khỏe mạnh,6.11,Linh Trần,08/03/2026
a0d572c8-a837-4e68-bba2-05ca3dba6da8,Ngọc Đặng,520767724488,25/08/1953,0568614616,vujane@example.net,"7 Quý ông Quang Dương, 311383",Tim mạch,4.63,Vi Phạm,22/06/2026
4f612217-eef1-4694-90ca-e32d0aba590e,Quý ông Bảo Vũ,976765595532,23/06/1940,0741356159,john27@example.org,"15 Cô Chi Dương, 620306",Tim mạch,5.26,Bác Minh Vũ,05/06/2026
14348f62-6cac-428c-ba22-006515260718,Chị Thành Lê,305471762307,23/06/1975,0361484649,dhoang@example.net,"6 Ánh Mai, 469685",Tiểu đường,8.96,Hạnh Thị Trần,11/05/2026
83599af6-5d01-455f-a7fd-64c4a334058a,Hà Bùi,358546050005,16/02/1995,0759844198,lle@example.org,"69 Bà Bảo Lê, 900152",Huyết áp cao,3.58,Khoa Lê,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Chị Xuân Lê,671466871714,08/01/1939,0559873510,johnpham@example.org,"47 Cô Phương Hoàng, 574001",Khỏe mạnh,11.78,Quý cô Hà Đặng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Trung Tấn Phạm,525974140024,10/03/1959,0396340803,jane08@example.net,"589 Trung Mai Dương, 851759",Khỏe mạnh,9.71,Quý ông Huy Hoàng,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Xuân Hoàng,440965587423,27/11/2005,0939411908,janevu@example.com,"80 Chị Bảo Lê, 336422",Tim mạch,9.16,Minh Thế Trần,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Anh Châu Lê,773987276206,06/02/2008,0840766671,jane30@example.com,"995 Cô Vân Trần, 536822",Huyết áp cao,10.01,Chi Mai,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Chị Yến Hoàng,268147299760,04/06/1945,0883020854,rdang@example.org,"92 Vi Mai, 639995",Tiểu đường,3.94,Thành Phạm,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Quý cô Hải Dương,768867324551,11/10/1987,0905733413,janeduong@example.net,"278 Kim Nguyễn, 512344",Tiểu đường,4.3,Anh Trung Hoàng,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Bác Trọng Trần,524168843205,14/02/1950,0935540497,phamjane@example.com,"06 Hồng Vũ, 628750",Tiểu đường,3.65,Bác Trọng Hoàng,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,Bà Phương Đặng,049685493730,02/08/1962,0331963035,phamjohn@example.org,"87 Nhật Bùi, 746447",Tiểu đường,9.39,Nhiên Đặng,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Bác Quang Đặng,175023809869,17/08/1985,0590280039,john64@example.org,"7 Quý cô Ngọc Mai JohnXã, 759580",Tim mạch,11.46,Bảo Hải Nguyễn,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Kim Trí Nguyễn,440811341018,27/06/1992,0967893614,janedang@example.net,"0 Linh Đặng, 281594",Tiểu đường,8.9,Bác Tùng Đặng,12/05/2026
ae455cc6-b88e-430f-9e1e-994ac5a11f5c,Cô Hải Trần,031963625130,29/08/1961,0926405058,hoangjohn@example.org,"37 Cô An Hoàng, 701334",Huyết áp cao,4.79,Kim Phú Lê,26/02/2026
b6d1f6bb-f48f-409c-89a2-24410ac4de85,Nhật Mai,486746026627,24/05/1970,0545103758,fmai@example.net,"199 Phương Phạm, 533377",Huyết áp cao,8.87,Châu Đức Lê,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Vũ Phú Hoàng,039149905644,22/06/2000,0973624625,ptran@example.com,"9 Quang Văn Bùi, 976822",Khỏe mạnh,7.75,Nhật Xuân Vũ,20/06/2026
9165f2ed-4c63-4e95-825f-55430997623a,Cô Mai Đặng,161211940065,30/04/1997,0841121936,john66@example.org,"27 Lê ĐườHà Bảo Trần, 807160",Huyết áp cao,5.29,Chị Duyên Bùi,10/06/2026
1634725b-53f3-4073-83e9-6ef46d7df5d0,Hải Đức Lê,776922096058,18/08/1954,0850054176,rpham@example.org,"45 Hoàng ĐườQuang Hoàng, 347781",Tim mạch,10.95,Dương Trần,01/04/2026
afa28559-67c9-4204-a8e3-33b64e8adc4b,Thành Vũ,834646303273,07/07/1985,0704406826,hoangjane@example.com,"87 Quang Vũ, 691573",Tim mạch,10.98,An Mai,25/06/2026
89628f6e-929c-43b3-b3c0-8bf18167999f,Kim Hoàng Hoàng,389962384414,18/08/1995,0543583649,nguyenjohn@example.net,"728 Hà Phú Phạm, 122827",Tiểu đường,11.88,Hạnh Văn Phạm,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Châu Vũ,791072920961,19/11/1944,0754211086,lejane@example.net,"6 Chị Kim Dương, 815894",Tiểu đường,9.57,Bà Hà Lê,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Quý cô Ngọc Lê,369994678127,06/02/1976,0732615674,vujane@example.com,"752 Bà Lâm Hoàng JohnQuận, 316092",Khỏe mạnh,4.32,Hà Hoàng,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Nhật Quang Dương,555514197250,29/03/1990,0795811868,jane91@example.com,"Bà Chi Vũ, 646571",Tiểu đường,6.61,Quý cô Thảo Vũ,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Phúc Dương,301554342778,15/11/1941,0562941505,jane84@example.net,"62 Hà Mai Lê, 160423",Huyết áp cao,3.82,Kim Trí Bùi,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Cô Ngọc Vũ,555377496270,29/01/1948,0367411601,duongjohn@example.net,"398 Quý cô Lâm Nguyễn, 322096",Khỏe mạnh,8.67,Cô Yến Dương,27/06/2026
b42a2d93-9aba-4f15-b214-90623e1a963e,Bác Châu Phạm,177220303582,07/04/1979,0955272450,qtran@example.org,"87 Ngọc Nguyễn, 428122",Huyết áp cao,6.88,An Hải Lê,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Nhiên Đức Đặng,826704766669,21/05/1980,0705399309,ntran@example.org,"77 Hưng Nguyễn, 668471",Khỏe mạnh,8.15,Vân Nguyễn,12/06/2026
d1682e09-f1f7-4904-9307-5157d8c128e7,Bà Xuân Mai,410295893547,15/08/1991,0817882187,tranjohn@example.com,"7 Chị Hạnh Hoàng, 658065",Khỏe mạnh,11.81,An Văn Mai,21/05/2026
49646b96-fa3c-4628-8926-21df465568b7,Lâm Trần,323654881314,22/11/1959,0524122674,hoangjohn@example.org,"46 Nhiên Mai, 336828",Tiểu đường,8.29,Vũ Nguyễn,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,ÔHải Phạm,964150313106,30/09/1946,0995933269,nguyenjohn@example.org,"0 Quý cô Dương Đặng, 817675",Tim mạch,4.01,Tùng Hoàng,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Quý ông Vũ Phạm,087301707888,12/02/1955,0733137436,jane54@example.com,"8 Hạnh Hải Lê phố, 558320",Tiểu đường,3.9,Cô Linh Hoàng,30/05/2026
658e54a2-9879-4f35-b471-99869d264599,Nam Đức Dương,844559284273,07/04/2002,0904132856,jane28@example.org,"943 Cô Lan Mai JohnPhường, 508548",Tim mạch,11.24,Quang Đức Trần,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Hải Thế Vũ,483733321914,17/05/1947,0327464848,jane37@example.net,"015 Kim Lê xã, 917018",Tim mạch,7.01,Nhật Mai,25/06/2026
926bffa5-3e24-4fbf-ba69-8cd2fe2390f3,Hải Dương,684167804744,04/02/1972,0393819559,xbui@example.net,"47 Kim Hữu Trần, 212168",Tim mạch,10.18,Bà An Bùi,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Chị Lan Nguyễn,529544700913,07/01/1954,0871348782,kdang@example.org,"47 Nhật Phú Bùi, 219420",Tim mạch,10.92,Chị Dương Mai,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Hương Hoàng,955928029965,26/11/1944,0504672110,duongjane@example.com,"Ông Nhiên Trần, 520274",Tim mạch,4.92,Phương Thị Đặng,17/05/2026
98049562-8972-4bbd-8ff2-b1c4e53f9644,Quý cô Khoa Bùi,415837538734,23/10/1983,0363107785,johntran@example.org,"61 Anh Dũng Lê, 510133",Tiểu đường,11.8,Anh Quang Nguyễn,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,An Văn Dương,014116584676,25/11/1982,0933320687,john81@example.org,"775 Trọng Nguyễn, 214675",Tim mạch,6.14,Chị Phương Lê,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Phương Mai Bảo Trần,429408475432,10/11/1960,0574994008,maijohn@example.net,"96 Quý ông Châu Phạm, 206694",Tiểu đường,5.51,Bà Thành Phạm,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Thành Đặng,559465702992,01/12/1988,0710016594,ble@example.com,"9 Cô An Nguyễn phố, 291936",Huyết áp cao,7.62,Hoàng Hữu Bùi,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,An Thế Lê,759071894342,26/01/1959,0702650685,janemai@example.com,"0 Chị Hà Vũ, 629990",Huyết áp cao,11.15,Quý ông Châu Bùi,18/05/2026
2ad11fe8-7d1b-495e-b1a0-449dd703262f,Kim Phạm,613576425681,04/07/1965,0360608925,nguyenjane@example.com,"7 Bảo Lê, 562806",Tim mạch,7.42,Quý cô Hương Phạm,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Quý cô Linh Trần,690914215470,02/04/1995,0502381964,hoangjane@example.net,"9 Chị Nhật Phạm, 467856",Khỏe mạnh,5.77,Trọng Mai,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Hạnh Đặng,001989846376,03/07/2005,0312234016,john40@example.org,"Lâm Vũ
672 Lâm Vũ, 573947",Tiểu đường,10.83,Hải Trần,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Phúc Mai Bảo Trần,800906162558,30/10/1935,0750613708,hoangjane@example.net,"637 Mai Dương, 993829",Tiểu đường,5.48,Bác Hưng Nguyễn,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Khoa Phạm,505245626405,21/07/1995,0354069435,jane89@example.com,"Cô Lan Mai
5 Cô Lan Mai, 796787",Khỏe mạnh,10.88,Cô Kim Vũ,21/05/2026
6de21429-3bf0-49c1-8156-e501b30e96e8,Tú Thế Đặng,797911500395,23/08/1935,0746380667,jane67@example.org,"051 Khoa Mai phố, 866260",Tiểu đường,5.16,Hà Đặng,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Chị Khoa Nguyễn,177668115819,24/08/1936,0924371491,fnguyen@example.com,"97 Cô Lan Bùi JaneHuyện, 550246",Khỏe mạnh,9.8,Hoàng Hải Vũ,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Thành Xuân Trần,717289605599,15/06/1963,0842602175,john42@example.net,"61 Cô Yến Mai, 505629",Khỏe mạnh,4.64,Thành Xuân Dương,30/05/2026
1149d096-965d-444f-8445-c1a812af97e4,Quý cô An Hoàng,395778210258,29/11/1940,0310341512,jane76@example.com,"61 Cô Thảo Lê, 313068",Tim mạch,6.43,Bà Kim Hoàng,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Khoa Quang Trần,079243873260,21/12/1967,0330249326,janedang@example.com,"21 Bảo Bảo Lê, 642347",Tiểu đường,8.98,Phúc Đặng,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,An Đặng,413282590792,03/12/1993,0872015210,janeduong@example.com,"5 Mai Nguyễn, 910894",Huyết áp cao,5.4,Khoa Trần,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Quý cô Hà Nguyễn,756345312113,13/09/1999,0881161884,john81@example.com,"536 Bác Trọng Mai, 806033",Huyết áp cao,4.29,Lan Phạm,06/06/2026
f43e8c48-0bc1-49e5-bb3d-f0638409c5ea,Hà Đặng,962063646075,11/10/1977,0806469335,duongjane@example.org,"4 Cô Ánh Trần, 673108",Tiểu đường,11.98,Chị Ngọc Bùi,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Hà Bùi,450136993476,14/09/1986,0856760584,ppham@example.net,"410 Châu Trí Đặng, 200219",Huyết áp cao,6.67,Quý cô Hà Hoàng,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Anh Quang Lê,371958745687,14/05/1978,0383524813,janevu@example.com,"291 Cô Yến Bùi, 526259",Khỏe mạnh,10.52,Phương Đặng,30/05/2026
769de1e3-4eed-4124-b3b0-d6763527a5c8,Bảo Mai Bảo Trần,589036835183,11/12/1956,0897000621,john27@example.com,"68 Kim Thế Dương, 682959",Khỏe mạnh,6.68,Cô Chi Trần,06/06/2026
030f9be9-1f17-4f93-a3c9-7a1ecb371d97,Hương Dương,628055698382,13/04/1953,0332801177,johnbui@example.net,"9 Bà Hải Mai, 196446",Tiểu đường,11.94,Tú Thị Dương,10/01/2026
6ee35607-92ea-4324-ac93-e5962b015723,Chị Ngọc Dương,632928076744,24/07/1993,0908086612,john98@example.net,"099 Anh Trần, 191982",Tiểu đường,10.62,Thành Lê,23/03/2026
cc152a1b-e278-4642-a484-e035330faaa3,Hoàng Lê Đặng,438154188813,11/10/2000,0533506091,duongjohn@example.net,"059 Quý ông Tùng Vũ JaneXã, 344068",Tim mạch,9.16,Cô Lâm Phạm,21/02/2026
ead18464-ca8e-458c-90f8-1063889fe107,Bảo Bảo Hoàng,394976915243,10/05/1988,0770507256,john36@example.org,"0 Lâm Thế Mai JaneQuận, 614259",Tiểu đường,10.45,Hương Nguyễn,15/02/2026
86c5547c-051a-4039-b803-dcee9a069295,ÔCô An Vũ,424658224159,29/11/1962,0522061099,janebui@example.org,"2 Phương Tấn Hoàng, 205939",Khỏe mạnh,11.37,Khoa Tấn Lê,31/01/2026
